Date,y
2011-12-22,0
2012-01-05,0
2012-01-19,0
2012-02-02,0
2012-02-16,0
2012-03-01,0
2012-03-15,0
2012-03-28,0
2012-04-11,1
2012-04-25,0
2012-05-09,1
2012-05-23,1
2012-06-06,0
2012-06-20,0
2012-07-04,0
2012-07-18,0
2012-08-01,0
2012-08-15,1
2012-08-29,0
2012-09-12,0
2012-09-26,1
2012-10-10,1
2012-10-24,1
2012-11-08,1
2012-11-22,0
2012-12-07,0
2012-12-21,0
2013-01-04,1
2013-01-18,0
2013-02-01,0
2013-02-15,0
2013-03-01,0
2013-03-15,1
2013-03-29,0
2013-04-11,0
2013-04-25,0
2013-05-09,0
2013-05-23,1
2013-06-06,0
2013-06-20,0
2013-07-04,0
2013-07-18,1
2013-08-01,1
2013-08-15,1
2013-08-29,0
2013-09-12,0
2013-09-26,1
2013-10-13,1
2013-10-28,0
2013-11-11,1
2013-11-25,0
2013-12-09,0
2013-12-23,0
2014-01-06,1
2014-01-20,1
2014-02-03,1
2014-02-17,0
2014-03-03,0
2014-03-17,0
2014-03-30,1
2014-04-13,0
2014-04-27,0
2014-05-11,0
2014-05-25,0
2014-06-08,0
2014-06-22,0
2014-07-06,0
2014-07-20,0
2014-08-03,0
2014-08-17,0
2014-08-31,0
2014-09-14,0
2014-09-28,1
2014-10-12,0
2014-10-27,1
2014-11-10,1
2014-11-24,1
2014-12-08,0
2014-12-22,1
2015-01-05,0
2015-01-19,1
2015-02-02,0
2015-02-16,0
2015-03-02,1
2015-03-16,1
2015-03-29,0
2015-04-12,1
2015-04-26,0
2015-05-10,0
2015-05-24,1
2015-06-07,0
2015-06-21,0
2015-07-05,0
2015-07-19,1
2015-08-02,0
2015-08-16,0
2015-08-30,0
2015-09-13,0
2015-09-27,1
2015-10-11,0
2015-10-26,1
2015-11-09,1
2015-11-23,0
2015-12-07,0
2015-12-21,1
2016-01-04,1
2016-01-18,0
2016-02-01,0
2016-02-15,0
2016-02-29,1
2016-03-14,0
2016-03-27,1
2016-04-10,0
2016-04-24,0
2016-05-08,0
2016-05-22,1
2016-06-05,0
2016-06-19,0
2016-07-03,0
2016-07-17,0
2016-07-31,0
2016-08-14,0
2016-08-28,0
2016-09-11,0
2016-09-25,0
2016-10-09,0
2016-10-23,0
2016-11-07,0
2016-11-21,1
2016-12-05,1
2016-12-19,0
2017-01-02,0
2017-01-16,0
2017-01-30,0
2017-02-13,1
2017-02-27,1
2017-03-13,0
2017-03-26,0
2017-04-09,1
2017-04-23,0
2017-05-07,0
2017-05-21,0
2017-06-04,0
2017-06-18,0
2017-07-02,0
2017-07-17,1
2017-07-31,0
2017-08-14,0
2017-08-28,1
2017-09-11,0
2017-09-25,0
2017-10-09,1
2017-10-23,1
2017-11-07,0
2017-11-22,0
2017-12-06,0
2017-12-20,0
2018-01-03,0
2018-01-17,0
2018-01-31,0
2018-02-14,1
2018-02-28,0
2018-03-14,0
2018-03-27,0
2018-04-10,0
2018-04-24,0
2018-05-08,1
2018-05-22,0
2018-06-05,0
2018-06-19,0
2018-07-03,0
2018-07-17,0
2018-07-31,0
2018-08-14,1
2018-08-28,0
2018-09-11,0
2018-09-25,0
2018-10-09,1
2018-10-23,0
2018-11-07,0
2018-11-21,0
2018-12-05,0
2018-12-19,0
2019-01-02,0
2019-01-16,0
2019-01-30,0
2019-02-13,1
2019-02-27,0
2019-03-13,0
2019-03-27,0
2019-04-09,0
2019-04-23,0
2019-05-07,0
2019-05-22,0
2019-06-05,0
2019-06-19,1
2019-07-03,1
2019-07-17,0
2019-07-31,0
2019-08-14,0
2019-08-28,0
2019-10-09,1
2019-10-23,0
2019-11-07,1
2019-11-21,0
2019-12-05,0
2019-12-19,0
