,logic_number,logic_name
0,logic00001,sma_slope_80-2
1,logic00002,MACD_30-10
2,logic00003,sma_slope_80-2_macdhist_30-10
3,logic00004,RSI_80
4,logic00005,sma_slope_80-2_RSI_80
5,logic00006,sma_slope_80-2_rsi_80_macdhist_30-10
6,logic00007,bb_80_dev_1
7,logic00008,bb_80_dev1_rsi80
8,logic00009,bb_80_dev_2
9,logic00010,bb_80_dev2_rsi80
10,logic00011,bb_80_dev_3
11,logic00012,bb_80_dev3_rsi80
12,logic00013,RSI_80
13,logic00014,sma_slope_80-2_RSI_40
14,logic00015,sma_slope_80-2_rsi_40_macdhist_30-10
15,logic00016,bb_80_dev_1
16,logic00017,bb_80_dev1_rsi40
17,logic00018,bb_80_dev_2
18,logic00019,bb_80_dev2_rsi40
19,logic00020,bb_80_dev_3
20,logic00021,bb_80_dev3_rsi40
21,logic00022,RSI_80
22,logic00023,sma_slope_80-2_RSI_20
23,logic00024,sma_slope_80-2_rsi_20_macdhist_30-10
24,logic00025,bb_80_dev_1
25,logic00026,bb_80_dev1_rsi20
26,logic00027,bb_80_dev_2
27,logic00028,bb_80_dev2_rsi20
28,logic00029,bb_80_dev_3
29,logic00030,bb_80_dev3_rsi20
30,logic00031,RSI_80
31,logic00032,sma_slope_80-2_RSI_10
32,logic00033,sma_slope_80-2_rsi_10_macdhist_30-10
33,logic00034,bb_80_dev_1
34,logic00035,bb_80_dev1_rsi10
35,logic00036,bb_80_dev_2
36,logic00037,bb_80_dev2_rsi10
37,logic00038,bb_80_dev_3
38,logic00039,bb_80_dev3_rsi10
39,logic00040,RSI_80
40,logic00041,sma_slope_80-2_RSI_5
41,logic00042,sma_slope_80-2_rsi_5_macdhist_30-10
42,logic00043,bb_80_dev_1
43,logic00044,bb_80_dev1_rsi5
44,logic00045,bb_80_dev_2
45,logic00046,bb_80_dev2_rsi5
46,logic00047,bb_80_dev_3
47,logic00048,bb_80_dev3_rsi5
48,logic00049,RSI_80
49,logic00050,sma_slope_80-2_RSI_3
50,logic00051,sma_slope_80-2_rsi_3_macdhist_30-10
51,logic00052,bb_80_dev_1
