,logic_number,logic_name,Final Asset
0,logic00001,sma_slope_80-2,976346
1,logic00002,MACD_30-10,983105
2,logic00003,sma_slope_80-2_macdhist_30-10,979912
3,logic00004,RSI_80,1000000
4,logic00005,sma_slope_80-2_RSI_80,1000000
5,logic00005,sma_slope_80-2_rsi_80_macdhist_80-2,1000000
6,logic00007,bb_80_dev_1,1170061
7,logic00008,bb_80_dev1_rsi80,1000000
8,logic00009,bb_80_dev_2,1203408
9,logic00010,bb_80_dev2_rsi80,1000000
10,logic00011,bb_80_dev_3,1000000
11,logic00012,bb_80_dev3_rsi80,1000000
12,logic00013,RSI_80,1000000
13,logic00014,sma_slope_80-2_RSI_40,1000000
14,logic00014,sma_slope_80-2_rsi_40_macdhist_80-2,1000000
15,logic00016,bb_80_dev_1,1170061
16,logic00017,bb_80_dev1_rsi40,994083
17,logic00018,bb_80_dev_2,1203408
18,logic00019,bb_80_dev2_rsi40,994083
19,logic00020,bb_80_dev_3,1000000
20,logic00021,bb_80_dev3_rsi40,1000000
21,logic00022,RSI_80,1000000
22,logic00023,sma_slope_80-2_RSI_20,1000000
23,logic00023,sma_slope_80-2_rsi_20_macdhist_80-2,1000000
24,logic00025,bb_80_dev_1,1170061
25,logic00026,bb_80_dev1_rsi20,1036072
26,logic00027,bb_80_dev_2,1203408
27,logic00028,bb_80_dev2_rsi20,1048686
28,logic00029,bb_80_dev_3,1000000
29,logic00030,bb_80_dev3_rsi20,1000000
30,logic00031,RSI_80,1000000
31,logic00032,sma_slope_80-2_RSI_10,1000000
32,logic00032,sma_slope_80-2_rsi_10_macdhist_80-2,1000000
33,logic00034,bb_80_dev_1,1170061
34,logic00035,bb_80_dev1_rsi10,1131297
35,logic00036,bb_80_dev_2,1203408
36,logic00037,bb_80_dev2_rsi10,1117176
37,logic00038,bb_80_dev_3,1000000
38,logic00039,bb_80_dev3_rsi10,1000000
39,logic00040,RSI_80,1000000
40,logic00041,sma_slope_80-2_RSI_5,1000000
41,logic00041,sma_slope_80-2_rsi_5_macdhist_80-2,1000000
42,logic00043,bb_80_dev_1,1170061
43,logic00044,bb_80_dev1_rsi5,1233735
44,logic00045,bb_80_dev_2,1203408
45,logic00046,bb_80_dev2_rsi5,1203408
46,logic00047,bb_80_dev_3,1000000
47,logic00048,bb_80_dev3_rsi5,1000000
48,logic00049,RSI_80,1000000
49,logic00050,sma_slope_80-2_RSI_3,1000000
50,logic00050,sma_slope_80-2_rsi_3_macdhist_80-2,1000000
51,logic00052,bb_80_dev_1,1170061
52,logic00053,bb_80_dev1_rsi3,1100581
53,logic00054,bb_80_dev_2,1203408
54,logic00055,bb_80_dev2_rsi3,1108383
55,logic00056,bb_80_dev_3,1000000
56,logic00057,bb_80_dev3_rsi3,1000000
57,logic00058,RSI_80,1000000
58,logic00059,sma_slope_80-2_RSI_2,1000000
59,logic00059,sma_slope_80-2_rsi_2_macdhist_80-2,1000000
60,logic00061,bb_80_dev_1,1170061
61,logic00062,bb_80_dev1_rsi2,1073008
62,logic00063,bb_80_dev_2,1203408
63,logic00064,bb_80_dev2_rsi2,1108383
64,logic00065,bb_80_dev_3,1000000
65,logic00066,bb_80_dev3_rsi2,1000000
66,logic00067,MACD_30-20,955971
67,logic00068,sma_slope_80-2_macdhist_30-20,994539
68,logic00069,RSI_80,1000000
69,logic00070,sma_slope_80-2_RSI_80,1000000
70,logic00070,sma_slope_80-2_rsi_80_macdhist_80-2,1000000
71,logic00072,bb_80_dev_1,1170061
72,logic00073,bb_80_dev1_rsi80,1000000
73,logic00074,bb_80_dev_2,1203408
74,logic00075,bb_80_dev2_rsi80,1000000
75,logic00076,bb_80_dev_3,1000000
76,logic00077,bb_80_dev3_rsi80,1000000
77,logic00078,RSI_80,1000000
78,logic00079,sma_slope_80-2_RSI_40,1000000
79,logic00079,sma_slope_80-2_rsi_40_macdhist_80-2,1000000
80,logic00081,bb_80_dev_1,1170061
81,logic00082,bb_80_dev1_rsi40,994083
82,logic00083,bb_80_dev_2,1203408
83,logic00084,bb_80_dev2_rsi40,994083
84,logic00085,bb_80_dev_3,1000000
85,logic00086,bb_80_dev3_rsi40,1000000
86,logic00087,RSI_80,1000000
87,logic00088,sma_slope_80-2_RSI_20,1000000
88,logic00088,sma_slope_80-2_rsi_20_macdhist_80-2,1000000
89,logic00090,bb_80_dev_1,1170061
90,logic00091,bb_80_dev1_rsi20,1036072
91,logic00092,bb_80_dev_2,1203408
92,logic00093,bb_80_dev2_rsi20,1048686
93,logic00094,bb_80_dev_3,1000000
94,logic00095,bb_80_dev3_rsi20,1000000
95,logic00096,RSI_80,1000000
96,logic00097,sma_slope_80-2_RSI_10,1000000
97,logic00097,sma_slope_80-2_rsi_10_macdhist_80-2,1000000
98,logic00099,bb_80_dev_1,1170061
99,logic00100,bb_80_dev1_rsi10,1131297
100,logic00101,bb_80_dev_2,1203408
101,logic00102,bb_80_dev2_rsi10,1117176
102,logic00103,bb_80_dev_3,1000000
103,logic00104,bb_80_dev3_rsi10,1000000
104,logic00105,RSI_80,1000000
105,logic00106,sma_slope_80-2_RSI_5,1000000
106,logic00106,sma_slope_80-2_rsi_5_macdhist_80-2,1000000
107,logic00108,bb_80_dev_1,1170061
108,logic00109,bb_80_dev1_rsi5,1233735
109,logic00110,bb_80_dev_2,1203408
110,logic00111,bb_80_dev2_rsi5,1203408
111,logic00112,bb_80_dev_3,1000000
112,logic00113,bb_80_dev3_rsi5,1000000
113,logic00114,RSI_80,1000000
114,logic00115,sma_slope_80-2_RSI_3,1000000
115,logic00115,sma_slope_80-2_rsi_3_macdhist_80-2,1000000
116,logic00117,bb_80_dev_1,1170061
117,logic00118,bb_80_dev1_rsi3,1100581
