,logic_number,logic_name
0,logic00001,sma_slope_80-5
1,logic00002,sma_slope_80-10
2,logic00003,sma_slope_80-20
3,logic00004,sma_slope_80-40
4,logic00005,sma_slope_40-5
5,logic00006,sma_slope_40-10
6,logic00007,sma_slope_40-20
7,logic00008,sma_slope_20-5
8,logic00009,sma_slope_20-10
9,logic00010,sma_slope_10-5
10,logic00011,MACD_30-10
11,logic00012,MACD_30-20
12,logic00013,MACD_20-10
13,logic00014,sma_slope_80-5_MACD_30-10
14,logic00015,sma_slope_80-5_MACD_30-20
15,logic00016,sma_slope_80-5_MACD_20-10
16,logic00017,sma_slope_80-10_MACD_30-10
17,logic00018,sma_slope_80-10_MACD_30-20
18,logic00019,sma_slope_80-10_MACD_20-10
19,logic00020,sma_slope_80-20_MACD_30-10
20,logic00021,sma_slope_80-20_MACD_30-20
21,logic00022,sma_slope_80-20_MACD_20-10
22,logic00023,sma_slope_80-40_MACD_30-10
23,logic00024,sma_slope_80-40_MACD_30-20
24,logic00025,sma_slope_80-40_MACD_20-10
25,logic00026,sma_slope_40-5_MACD_30-10
26,logic00027,sma_slope_40-5_MACD_30-20
27,logic00028,sma_slope_40-5_MACD_20-10
28,logic00029,sma_slope_40-10_MACD_30-10
29,logic00030,sma_slope_40-10_MACD_30-20
30,logic00031,sma_slope_40-10_MACD_20-10
31,logic00032,sma_slope_40-20_MACD_30-10
32,logic00033,sma_slope_40-20_MACD_30-20
33,logic00034,sma_slope_40-20_MACD_20-10
34,logic00035,sma_slope_20-5_MACD_30-10
35,logic00036,sma_slope_20-5_MACD_30-20
36,logic00037,sma_slope_20-5_MACD_20-10
37,logic00038,sma_slope_20-10_MACD_30-10
38,logic00039,sma_slope_20-10_MACD_30-20
39,logic00040,sma_slope_20-10_MACD_20-10
40,logic00041,sma_slope_10-5_MACD_30-10
41,logic00042,sma_slope_10-5_MACD_30-20
42,logic00043,sma_slope_10-5_MACD_20-10
43,logic00044,RSI_22
44,logic00045,RSI_14
45,logic00046,RSI_9
46,logic00047,sma_slope_80-5_RSI_22
47,logic00048,sma_slope_80-5_RSI_14
48,logic00049,sma_slope_80-5_RSI_9
49,logic00050,sma_slope_80-10_RSI_22
50,logic00051,sma_slope_80-10_RSI_14
51,logic00052,sma_slope_80-10_RSI_9
52,logic00053,sma_slope_80-20_RSI_22
53,logic00054,sma_slope_80-20_RSI_14
54,logic00055,sma_slope_80-20_RSI_9
55,logic00056,sma_slope_80-40_RSI_22
56,logic00057,sma_slope_80-40_RSI_14
57,logic00058,sma_slope_80-40_RSI_9
58,logic00059,sma_slope_40-5_RSI_22
59,logic00060,sma_slope_40-5_RSI_14
60,logic00061,sma_slope_40-5_RSI_9
61,logic00062,sma_slope_40-10_RSI_22
62,logic00063,sma_slope_40-10_RSI_14
63,logic00064,sma_slope_40-10_RSI_9
64,logic00065,sma_slope_40-20_RSI_22
65,logic00066,sma_slope_40-20_RSI_14
66,logic00067,sma_slope_40-20_RSI_9
67,logic00068,sma_slope_20-5_RSI_22
68,logic00069,sma_slope_20-5_RSI_14
69,logic00070,sma_slope_20-5_RSI_9
70,logic00071,sma_slope_20-10_RSI_22
71,logic00072,sma_slope_20-10_RSI_14
72,logic00073,sma_slope_20-10_RSI_9
73,logic00074,sma_slope_10-5_RSI_22
74,logic00075,sma_slope_10-5_RSI_14
75,logic00076,sma_slope_10-5_RSI_9
76,logic00077,sma_slope_80-5_RSI_22_MACD_30-10
77,logic00078,sma_slope_80-5_RSI_22_MACD_30-20
78,logic00079,sma_slope_80-5_RSI_22_MACD_20-10
79,logic00080,sma_slope_80-5_RSI_14_MACD_30-10
80,logic00081,sma_slope_80-5_RSI_14_MACD_30-20
81,logic00082,sma_slope_80-5_RSI_14_MACD_20-10
82,logic00083,sma_slope_80-5_RSI_9_MACD_30-10
83,logic00084,sma_slope_80-5_RSI_9_MACD_30-20
84,logic00085,sma_slope_80-5_RSI_9_MACD_20-10
85,logic00086,sma_slope_80-10_RSI_22_MACD_30-10
86,logic00087,sma_slope_80-10_RSI_22_MACD_30-20
87,logic00088,sma_slope_80-10_RSI_22_MACD_20-10
88,logic00089,sma_slope_80-10_RSI_14_MACD_30-10
89,logic00090,sma_slope_80-10_RSI_14_MACD_30-20
90,logic00091,sma_slope_80-10_RSI_14_MACD_20-10
