,logic_number,logic_name
0,logic00001,sma_80-2
1,logic00002,sma_80-3
2,logic00003,sma_80-5
3,logic00004,sma_80-10
4,logic00005,sma_80-20
5,logic00006,sma_80-40
6,logic00007,sma_40-2
7,logic00008,sma_40-3
8,logic00009,sma_40-5
9,logic00010,sma_40-10
10,logic00011,sma_40-20
11,logic00012,sma_20-2
12,logic00013,sma_20-3
13,logic00014,sma_20-5
14,logic00015,sma_20-10
15,logic00016,sma_10-2
16,logic00017,sma_10-3
17,logic00018,sma_10-5
18,logic00019,sma_5-2
19,logic00020,sma_5-3
20,logic00021,sma_3-2
21,logic00022,MACD_30-10
22,logic00023,MACD_30-20
23,logic00024,MACD_20-10
24,logic00025,sma_slope_80-2_macdhist_30-10
25,logic00026,sma_slope_80-2_macdhist_30-20
26,logic00027,sma_slope_80-2_macdhist_20-10
27,logic00028,sma_slope_80-3_macdhist_30-10
28,logic00029,sma_slope_80-3_macdhist_30-20
29,logic00030,sma_slope_80-3_macdhist_20-10
30,logic00031,sma_slope_80-5_macdhist_30-10
31,logic00032,sma_slope_80-5_macdhist_30-20
32,logic00033,sma_slope_80-5_macdhist_20-10
33,logic00034,sma_slope_80-10_macdhist_30-10
34,logic00035,sma_slope_80-10_macdhist_30-20
35,logic00036,sma_slope_80-10_macdhist_20-10
36,logic00037,sma_slope_80-20_macdhist_30-10
37,logic00038,sma_slope_80-20_macdhist_30-20
38,logic00039,sma_slope_80-20_macdhist_20-10
39,logic00040,sma_slope_80-40_macdhist_30-10
40,logic00041,sma_slope_80-40_macdhist_30-20
41,logic00042,sma_slope_80-40_macdhist_20-10
42,logic00043,sma_slope_40-2_macdhist_30-10
43,logic00044,sma_slope_40-2_macdhist_30-20
44,logic00045,sma_slope_40-2_macdhist_20-10
45,logic00046,sma_slope_40-3_macdhist_30-10
46,logic00047,sma_slope_40-3_macdhist_30-20
47,logic00048,sma_slope_40-3_macdhist_20-10
48,logic00049,sma_slope_40-5_macdhist_30-10
49,logic00050,sma_slope_40-5_macdhist_30-20
50,logic00051,sma_slope_40-5_macdhist_20-10
51,logic00052,sma_slope_40-10_macdhist_30-10
52,logic00053,sma_slope_40-10_macdhist_30-20
53,logic00054,sma_slope_40-10_macdhist_20-10
54,logic00055,sma_slope_40-20_macdhist_30-10
55,logic00056,sma_slope_40-20_macdhist_30-20
56,logic00057,sma_slope_40-20_macdhist_20-10
57,logic00058,sma_slope_20-2_macdhist_30-10
58,logic00059,sma_slope_20-2_macdhist_30-20
59,logic00060,sma_slope_20-2_macdhist_20-10
60,logic00061,sma_slope_20-3_macdhist_30-10
